conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,clean_text,tokens
2069746920403464670,2026-06-24T11:38:14.000Z,0,"Bayangin kalau microphone bisa ngomong

Terus dia tahu kalau akan dipakai pidato sama Prabowo

Kira-kira itu mic bakal ngomong apa?",2069746920403464670,,,in,,0,0,0,https://x.com/marai_wareg/status/2069746920403464670,70691947,marai_wareg,bayangin kalau microphone bisa ngomong terus dia tahu kalau akan dipakai pidato sama prabowo kira kira itu mic bakal ngomong apa,"['bayangin', 'microphone', 'ngomong', 'pakai', 'pidato', 'mic', 'ngomong']"
2069746505058259342,2026-06-24T11:36:35.000Z,0,MAKIN STRESS AK DENGER PRABOWO PIDATO,2069746505058259342,,,in,,0,0,0,https://x.com/loffly21/status/2069746505058259342,1339484063493591040,loffly21,makin stress ak denger prabowo pidato,"['stress', 'ak', 'denger', 'pidato']"
2069746127340277826,2026-06-24T11:35:05.000Z,0,"gue ga mau ngebela prabowo atau bahas isi dr pidato dr prabowo

Sedih rasanya melihat ada orang yang berharap negaranya sendiri hancur.

Kita tumbuh di tanah ini, menghirup udara yang sama, minum air yang sama, dan menikmati berbagai fasilitas yang dibangun di negeri ini.",2069746127340277826,,,in,,0,0,0,https://x.com/bl1ndnss/status/2069746127340277826,1337632052884037632,bl1ndnss,gue tidak_mau ngebela prabowo atau bahas isi dari pidato dari prabowo sedih rasanya melihat ada orang yang berharap negaranya sendiri hancur kita tumbuh di tanah ini menghirup udara yang sama minum air yang sama dan menikmati berbagai fasilitas yang dibangun di negeri ini,"['tidak mau', 'ngebela', 'bahas', 'isi', 'pidato', 'sedih', 'harap', 'negara', 'hancur', 'tumbuh', 'tanah', 'hirup', 'udara', 'minum', 'air', 'nikmat', 'fasilitas', 'bangun', 'negeri']"
2069714648442527814,2026-06-24T11:34:55.000Z,37,@AdamPrabata Asli tiap prabowo pidato anak linguistik langsung panen bahan baru buat diteliti,2069746087230128517,,AdamPrabata,in,,0,0,2,https://x.com/feybyulous/status/2069746087230128517,155441146,feybyulous,asli tiap prabowo pidato anak linguistik langsung panen bahan baru buat diteliti,"['asli', 'pidato', 'anak', 'linguistik', 'langsung', 'panen', 'bahan', 'teliti']"
2069745944699256970,2026-06-24T11:34:21.000Z,0,@prabowo LO TUH BISA DIEM GA? TIAP LO PIDATO RUPIAH N IHSG ANJLOK GOBLOOOKKK,2069745944699256970,,prabowo,in,,0,0,0,https://x.com/nohoaxhoax/status/2069745944699256970,728977134388043776,nohoaxhoax,lo tuh bisa diem tidak_tiap lo pidato rupiah n ihsg anjlok goblookk,"['lo', 'tuh', 'diem', 'tidak tiap', 'lo', 'pidato', 'rupiah', 'ihsg', 'anjlok', 'goblookk']"
2069695495996580214,2026-06-24T11:34:06.000Z,0,@saludosparatii @The_RedsIndo Bener. Masih ketolong Kuis dapet sepeda. dan jokowi klo pidato tuh keliatan hati2 sambil baca text. Yah ane kira Prabowo upgrade dari Jokowi. Malah makin menjauh,2069745881411428367,,saludosparatii,in,,0,1,0,https://x.com/oL0fRPXaen25817/status/2069745881411428367,1681555585240825856,oL0fRPXaen25817,bener masih ketolong kuis dapet sepeda dan jokowi kalau pidato tuh keliatan hati2 sambil baca text yah ane kira prabowo upgrade dari jokowi malah makin menjauh,"['bener', 'tolong', 'kuis', 'dapet', 'sepeda', 'jokowi', 'pidato', 'tuh', 'liat', 'hati2', 'baca', 'text', 'yah', 'ane', 'upgrade', 'jokowi', 'jauh']"
2069698312828006824,2026-06-24T11:33:58.000Z,3,"@tanyarlfes Jujur sejauh ini, prabowo ni yg paling buruk, kek asli nih mengenyampingkan hal2 lain, cara dia pidato beneran nggak berwibawa banget, lebih kaya bocah random dari jalanan terus tiba2 jadi presiden, sok berkuasa ina inu tapi omongannya kosong",2069745845470425513,,tanyarlfes,in,,0,0,1,https://x.com/NESVERLAND/status/2069745845470425513,2420744467,NESVERLAND,jujur sejauh ini prabowo ni yang paling buruk kek asli nih mengenyampingkan hal2 lain cara dia pidato beneran tidak_berwibawa banget lebih kaya bocah random dari jalanan terus tiba2 jadi presiden sok berkuasa ina inu tapi omongannya kosong,"['jujur', 'ni', 'buruk', 'kek', 'asli', 'nih', 'mengenyampingkan', 'hal2', 'pidato', 'beneran', 'tidak wibawa', 'kaya', 'bocah', 'random', 'jalan', 'tiba2', 'presiden', 'sok', 'kuasa', 'ina', 'inu', 'omong', 'kosong']"
2069745625869300188,2026-06-24T11:33:05.000Z,5,"jujur jadi WNI 2024-2029 bakal jadi tahun yg menyedihkan banget, dari semua pidato we know damn well wowok ga akan pernah mau turun dari jabatannya. bahkan kalo ada demo gede pun, peluang dia turun itu kecil bgt. kita bukan lagi butuh reformasi, tapi revolusi.

rakyat maju salah",2069745625869300188,,,in,,0,2,4,https://x.com/bbarbieie/status/2069745625869300188,1545470143123562496,bbarbieie,jujur jadi wni 2024 2029 bakal jadi tahun yang menyedihkan banget dari semua pidato we know damn well wowok tidak_akan pernah mau turun dari jabatannya bahkan kalo ada demo gede pun peluang dia turun itu kecil banget kita bukan_lagi butuh reformasi tapi revolusi rakyat maju salah,"['jujur', 'wni', '2024', '2029', 'sedih', 'pidato', 'we', 'know', 'damn', 'well', 'wowok', 'tidak akan', 'turun', 'jabat', 'demo', 'gede', 'peluang', 'turun', 'bukan lagi', 'butuh', 'reformasi', 'revolusi', 'rakyat', 'maju', 'salah']"
2069745542553641286,2026-06-24T11:32:46.000Z,3,"baru on tl disuguhin pidato prabowo yang bikin turun iq dan rupiah melemah, nambah sialnya aku WNI mana seumur hidup lagi",2069745542553641286,,,in,,0,5,0,https://x.com/Ofsaniity/status/2069745542553641286,3471327192,Ofsaniity,baru on tl disuguhin pidato_prabowo yang bikin turun iq dan rupiah melemah nambah sialnya aku wni mana seumur hidup lagi,"['on', 'tl', 'disuguhin', 'pidato prabowo', 'bikin', 'turun', 'iq', 'rupiah', 'lemah', 'nambah', 'sial', 'wni', 'umur', 'hidup']"
2069745479194386432,2026-06-24T11:32:30.000Z,0,knp setiap prabowo pidato rupiah makin anjlok https://t.co/BlEC9D9yEL,2069745479194386432,https://pbs.twimg.com/media/HLk2iqRaAAAOEZs.jpg,,in,,0,0,0,https://x.com/madutjalpukat/status/2069745479194386432,2030782039646240768,madutjalpukat,knp setiap prabowo pidato rupiah makin anjlok,"['knp', 'pidato', 'rupiah', 'anjlok']"
2069745415109632500,2026-06-24T11:32:15.000Z,0,"Sakit hati bgt liat pidato prabowo, kek kok dia bisa begituu, keliatan bgt dari pidatonya dia dipihak mana. Kali ini menurut gw parah pake bgtt",2069745415109632500,,,in,,0,0,0,https://x.com/bknkanjengrahtu/status/2069745415109632500,1250075698301190145,bknkanjengrahtu,sakit hati banget liat pidato_prabowo kek kok dia bisa begituu keliatan banget dari pidatonya dia dipihak mana kali ini menurut gw parah pake banget,"['sakit', 'hati', 'pidato prabowo', 'kek', 'begituu', 'liat', 'pidato', 'pihak', 'kali', 'parah', 'pake']"
2069730960632107327,2026-06-24T11:32:08.000Z,0,@insidefolkative Efek pidato pak Prabowo itu,2069745383287456139,,insidefolkative,in,,0,0,0,https://x.com/massdannn_/status/2069745383287456139,1165399199493476352,massdannn_,efek pidato pak prabowo itu,"['efek', 'pidato']"
2069745211178209390,2026-06-24T11:31:27.000Z,0,[BERITA UTAMA] Presiden Prabowo Subianto Pidato di Munas Alim Ulama NU 2026: “Belum Ada Profesor Ekonomi yang Bisa Bantah Saya” https://t.co/IXS6wbMLxK,2069745211178209390,,,in,,0,0,0,https://x.com/TajukNasional/status/2069745211178209390,729309555486642176,TajukNasional,berita utama presiden_prabowo_subianto pidato di munas alim ulama nu 2026 belum ada profesor ekonomi yang bisa bantah saya,"['berita', 'utama', 'presiden prabowo subianto', 'pidato', 'munas', 'alim', 'ulama', 'nu', '2026', 'profesor', 'ekonomi', 'bantah']"
2069745177980555775,2026-06-24T11:31:19.000Z,16,"Prabowo keceplosan saat pidato, bahwa suatu saat orang miskin akan kecipratan rezeki dari segilintir orang kaya.
Prabowo sedang membicarakan dirinya sendiri dan circlenya
cc:https://t.co/ohos5MXZhP https://t.co/oceJS5oKTu",2069745177980555775,https://pbs.twimg.com/amplify_video_thumb/2069745023495598080/img/gmWrHAix7KfvHAx6.jpg,,in,,0,11,6,https://x.com/cadoize3/status/2069745177980555775,713391896,cadoize3,prabowo keceplosan saat pidato bahwa suatu saat orang miskin akan kecipratan rezeki dari segilintir orang kaya prabowo sedang membicarakan dirinya sendiri dan circlenya cc,"['ceplos', 'pidato', 'miskin', 'ciprat', 'rezeki', 'segilintir', 'kaya', 'bicara', 'circlenya', 'cc']"
2069745040113779032,2026-06-24T11:30:46.000Z,0,Sekali prabowo pidato = sejuta langkah WNI yang bukan voters &amp; buzzer dia maju ke surga,2069745040113779032,,,in,,0,0,0,https://x.com/miawawuq/status/2069745040113779032,1355050484562677761,miawawuq,sekali prabowo pidato sejuta langkah wni yang bukan_voters amp buzzer dia maju ke surga,"['pidato', 'juta', 'langkah', 'wni', 'bukan voters', 'amp', 'buzzer', 'maju', 'surga']"
2069744787973079443,2026-06-24T11:29:46.000Z,0,"Hih rasanya kalau liat prabowo pidato tu, pingin tak bawain foto+video kenyataan yang terjadi di masyarakat sambil bilang “nyoh buka o matamu sing lebar wo bowo”",2069744787973079443,,,in,,0,0,0,https://x.com/lotoobeh/status/2069744787973079443,137006447,lotoobeh,hih rasanya kalau liat prabowo pidato tu pingin tak_bawain foto video kenyataan yang terjadi di masyarakat sambil bilang nyoh buka o matamu sing lebar wo bowo,"['hih', 'pidato', 'tu', 'pingin', 'tak bawain', 'foto', 'video', 'nyata', 'masyarakat', 'bilang', 'nyoh', 'buka', 'mata', 'sing', 'lebar', 'wo', 'bowo']"
2069728570193424564,2026-06-24T10:48:39.000Z,0,"@b4efaa aku dm ya, tar ku kirim pidato nya prabowo",2069734441640132745,,b4efaa,in,,0,2,0,https://x.com/edmaartinnnee/status/2069734441640132745,2038606383189225472,edmaartinnnee,aku dm ya tar ku kirim pidato nya prabowo,"['dm', 'tar', 'ku', 'kirim', 'pidato', 'nya']"
2069734189835104762,2026-06-24T10:47:39.000Z,0,"Dari pidato-pidato Prabowo, kita tahu bahwa dia tidak tahu apa yang sedang terjadi.",2069734189835104762,,,in,,0,0,0,https://x.com/triwahyuutama15/status/2069734189835104762,373848200,triwahyuutama15,dari pidato pidato_prabowo kita tahu bahwa dia tidak_tahu apa yang sedang terjadi,"['pidato', 'pidato prabowo', 'tidak tahu']"
2069733756626501903,2026-06-24T10:45:56.000Z,2,"IHSG / JCI hari ini setelah
MSCI masih freeze dan Prabowo pidato 
$EIDO closing hijau tipis tapi kita garr banget 3.5%, 
ni banyak bebenah deh @ojkindonesia masa iya pengeluaran terbesar gue cutloss https://t.co/PmSkkiM2ix",2069733756626501903,https://pbs.twimg.com/media/HLkr4GwXsAAqqZA.jpg,,in,,0,0,0,https://x.com/transebatyuk/status/2069733756626501903,1585674154124390400,transebatyuk,ihsg jci hari ini setelah msci masih freeze dan prabowo pidato eido closing hijau tipis tapi kita garr banget 3 5 ni banyak bebenah deh masa iya pengeluaran terbesar gue cutloss,"['ihsg', 'jci', 'msci', 'freeze', 'pidato', 'eido', 'closing', 'hijau', 'tipis', 'garr', 'ni', 'bebenah', 'iya', 'keluar', 'besar', 'cutloss']"
2069733671012327794,2026-06-24T10:45:35.000Z,0,jalan pulang sambil dengerin pidato plenger prabowo,2069733671012327794,,,in,,0,1,0,https://x.com/slyzpss/status/2069733671012327794,2455060932,slyzpss,jalan pulang sambil dengerin pidato plenger prabowo,"['jalan', 'pulang', 'dengerin', 'pidato', 'plenger']"
2069650763559891288,2026-06-24T10:45:11.000Z,0,"@Palaxyz Hiduuup jookoowii..
Akhir  pidato prabowo  harus  itu.",2069733571473137944,,Palaxyz,in,,0,0,1,https://x.com/NHenryp29864/status/2069733571473137944,1705475303571861504,NHenryp29864,hiduup jookoowii akhir pidato_prabowo harus itu,"['hiduup', 'jookoowii', 'pidato prabowo']"
2069733495229018285,2026-06-24T10:44:53.000Z,0,prabowo kontol ga pernah jelas kalo pidato anjing,2069733495229018285,,,in,,0,0,0,https://x.com/ultramilkmocca/status/2069733495229018285,1265808345534918656,ultramilkmocca,prabowo kontol tidak_pernah jelas kalo pidato anjing,"['kontol', 'tidak pernah', 'pidato', 'anjing']"
2069733332972401123,2026-06-24T10:44:15.000Z,0,prabowo stop pidato deh anjg gaada yg bisa dipetik dari semua omongan lu sumpah,2069733332972401123,,,in,,0,0,0,https://x.com/tellenovoia/status/2069733332972401123,1314099591478796288,tellenovoia,prabowo stop pidato deh anjg gaada yang bisa dipetik dari semua omongan lu sumpah,"['stop', 'pidato', 'anjg', 'gaada', 'petik', 'omong', 'sumpah']"
2069733267499331846,2026-06-24T10:43:59.000Z,0,tiap prabowo pidato gue pengen bundir,2069733267499331846,,,in,,0,0,0,https://x.com/sewarnasi/status/2069733267499331846,1691780856917135360,sewarnasi,tiap prabowo pidato gue pengen bundir,"['pidato', 'ken', 'bundir']"
2069733262579437915,2026-06-24T10:43:58.000Z,0,"pusing bgt liat pidato pak prabowo, ga ngerti lagi udah, semangat deh orang indonesia",2069733262579437915,,,in,,0,0,0,https://x.com/talkandart/status/2069733262579437915,1711883454969962496,talkandart,pusing banget liat pidato pak prabowo tidak_ngerti lagi udah semangat deh orang_indonesia,"['pusing', 'pidato', 'tidak ngerti', 'udah', 'semangat', 'orang indonesia']"
